"","EMV1"
"1",1.57563537260888
"2",1.6495963201947
"3",0.971864284120645
"4",1.61937300153973
"5",0.816209614072273
"6",1.37085141681844
"7",1.21694141170065
"8",1.40931286208626
"9",1.52588762965172
"10",1.70560581496607
"11",1.1160999302044
"12",1.39397029067967
"13",1.2317988882167
"14",1.53626668116853
"15",0.683261133987012
"16",1.36219542728329
"17",1.33844454232369
"18",1.48461576221276
"19",0.933120232704372
"20",1.86998822515779
"21",1.28091500651842
"22",1.50895289429777
"23",1.20751261529599
"24",1.23060904898512
"25",1.65931879835601
"26",1.13373166930769
"27",1.87220877006508
"28",1.52803724833579
"29",1.16529249199048
"30",1.71007164359775
"31",1.45589284691243
"32",1.31570170050108
"33",1.50553735692252
"34",1.43835919361191
"35",1.20135665896908
"36",1.44599734348351
"37",1.58072512255066
"38",0.775337401010195
"39",1.43134891940819
"40",1.3448537071441
"41",1.50684719558379
"42",1.11040020045994
"43",0.85769834537252
"44",0.79352085389089
"45",1.6943953850032
"46",1.06410586089563
"47",1.76460594427048
"48",1.58669803484714
"49",1.1830889912532
"50",1.3846809051576
"51",1.28099828759961
"52",1.48635256359715
"53",1.69607670672172
"54",1.15420083447369
"55",1.45446655171727
"56",0.927836005988381
"57",1.77919823584162
"58",1.52064261593343
"59",1.0197309960471
"60",1.10242034161851
"61",1.54999084190111
"62",1.47262028248088
"63",1.35626191891468
"64",1.10671897391533
"65",1.35400123643095
"66",1.36335046524242
"67",1.45539152424664
"68",1.4249343326703
"69",0.971912977886309
"70",1.0500313273992
"71",1.02545669949201
"72",1.97047556790465
"73",1.55793744767478
"74",1.57868424897761
"75",1.14607060652893
"76",1.43985530714805
"77",1.38938915136469
"78",1.47894504452645
"79",1.01484360546569
"80",1.20548864277341
"81",1.53612453671881
"82",1.02194351235871
"83",1.57769996326611
"84",1.36912875994864
"85",1.48859838486911
"86",1.64662151115378
"87",1.13541536169742
"88",0.982940434446036
"89",1.28279214508371
"90",1.39174126640815
"91",1.42236441232307
"92",1.30504460233926
"93",1.55671255135515
"94",1.75155811558574
"95",1.58703608979211
"96",1.47815388247132
"97",1.21780547611748
"98",1.42913156950344
"99",1.11395774519281
"100",1.77217375309245
"101",0.996555064247048
"102",1.38722008905191
"103",1.01491409780925
"104",1.52390213842416
"105",1.30050169023258
"106",1.26947267773085
"107",1.46655331978845
"108",1.75091786965549
"109",1.73732171366073
"110",1.52092913484723
"111",1.35847274419694
"112",1.45783528136066
"113",1.09581549120793
"114",1.32446026800065
"115",0.598186154669396
"116",1.34374056681927
"117",1.69400326374047
"118",1.36805456335807
"119",1.54321731307562
"120",1.39740650741988
"121",1.43854256451488
"122",1.70694621760985
"123",1.25087357050442
"124",1.68536659240106
"125",1.29462723364184
"126",1.30837429353718
"127",1.25119299429015
"128",1.3543769540523
"129",1.79267100468918
"130",0.989977730825994
"131",1.45585675674562
"132",1.66210114948854
"133",1.20551411133759
"134",1.13845378233777
"135",1.15965755198692
"136",1.6677421938203
"137",1.0420540116577
"138",1.71284973659383
"139",1.35591066119851
"140",1.22202949501148
"141",1.62272827674084
"142",1.48702100083821
"143",1.55961148455624
"144",1.26478459739189
"145",1.43547985115102
"146",1.58332452406697
"147",0.897813758503822
"148",1.43064556700579
"149",1.31708031509635
"150",1.20824654331313
"151",1.29398370961854
"152",1.58117828886822
"153",1.06058119081073
"154",1.34143206077647
"155",1.40818454616306
"156",1.22275997171674
"157",1.42594226759495
"158",1.39622559810642
"159",1.69971521223758
"160",1.12900298167595
"161",1.3842046237475
"162",1.11137503922137
"163",1.21884866935848
"164",1.49898963771697
"165",1.50432573743305
"166",0.885787127188465
"167",1.35338852299224
"168",1.16315103314114
"169",1.27279042590487
"170",1.35306727117722
"171",1.56674751572334
"172",1.42980088398768
"173",1.53723206536778
"174",1.15644579803057
"175",1.29752019169007
"176",1.52318292844435
"177",1.5650803692437
"178",1.56936829558938
"179",1.12026881762943
"180",1.43163815599273
"181",1.90143541114352
"182",1.67731095095821
"183",1.19227151983935
"184",1.43648432596626
"185",1.40008744285391
"186",1.11251624187626
"187",1.21525514249038
"188",1.36459717044539
"189",1.61573111833277
"190",1.48259493931698
"191",1.46206878260326
"192",1.17631973980826
"193",1.0639187518589
"194",1.34321324970368
"195",1.03941571849893
"196",1.15611303678743
"197",1.20189011280658
"198",0.593407053481623
"199",1.47604858582738
"200",1.60412304590969
"201",0.983559305221123
"202",1.41278467177834
"203",1.35652836531726
"204",1.10029374830665
"205",1.50225510640879
"206",1.41785512596145
"207",1.10085629039675
"208",0.949114552725832
"209",0.767611975519465
"210",1.21084870777447
"211",1.30380403901592
"212",1.8296414313052
"213",1.38380486725831
"214",1.49939407397826
"215",1.08646623421935
"216",1.72582762875063
"217",1.3695240117732
"218",1.06614507181669
"219",1.96031910134467
"220",1.18434450949564
"221",1.23331666381731
"222",1.46931167291922
"223",1.03691653312475
"224",1.6460280965494
"225",0.865242207093624
"226",1.58901709632795
"227",1.556280920412
"228",1.61201405864885
"229",1.35673415395592
"230",1.39608297237801
"231",1.57753952920942
"232",1.48142407936961
"233",1.38361846590689
"234",0.903735890243865
"235",1.60783582758992
"236",1.78986225806589
"237",0.937058548215417
"238",0.98437760407959
"239",1.44603041789362
"240",1.09754796697332
"241",1.55444666947734
"242",1.5061433209944
"243",1.37523746300954
"244",1.04160777361413
"245",1.47752954016827
"246",1.3997540778702
"247",1.41078888590195
"248",1.70377121096926
"249",1.49079900050342
"250",1.44926238737648
"251",1.38233984298209
"252",1.2468135177455
"253",1.68206143531713
"254",1.44429432116417
"255",0.913744410122148
"256",1.16083835958289
"257",1.29863057753817
"258",1.17290377621003
"259",0.978136059818644
"260",1.66078507544772
"261",1.41031831493542
"262",1.35246769763383
"263",1.42952943387507
"264",1.39993684523585
"265",1.17768710418561
"266",1.33208745746225
"267",1.1653185976618
"268",1.26467458503992
"269",1.26238265915705
"270",1.43108322109049
"271",1.32409459326644
"272",1.38985946556041
"273",1.75052161057089
"274",1.43855029148629
"275",1.03359911178698
"276",1.36801869932506
"277",1.20531552452197
"278",1.58769098237569
"279",1.20387062702304
"280",1.50985163357022
"281",1.10015774350667
"282",1.13731023727205
"283",1.13970042869386
"284",1.46327325931517
"285",1.18203709455735
"286",1.23123313609623
"287",1.16613042578695
"288",1.47823462417616
"289",1.51683763540537
"290",1.31256542518209
"291",1.35549654509463
"292",1.78337623813912
"293",0.663069345233982
"294",0.857259608942357
"295",1.17036202978664
"296",1.51749402466187
"297",1.54015805280041
"298",1.25506034367856
"299",0.948541569236908
"300",0.395069903554315
"301",1.49321049114453
"302",1.67852309453313
"303",1.46054706384611
"304",1.28129748045231
"305",1.38282235359909
"306",1.78958195126103
"307",1.5701376395207
"308",1.4663498375014
"309",1.75936218236105
"310",1.67298007948655
"311",1.22747095805803
"312",1.33380767147098
"313",1.09345467991444
"314",1.62117063266252
"315",0.970595048974544
"316",1.62821189761596
"317",1.0366106664348
"318",1.53532674337358
"319",1.26150573978802
"320",1.38086518466289
"321",1.55423438179925
"322",1.25443556596003
"323",1.42608845010302
"324",1.52712426224973
"325",1.55885332420742
"326",1.42383647724673
"327",1.00394030677394
"328",1.01399855018784
"329",1.29524517181955
"330",1.63856204476787
"331",1.06841840488739
"332",1.4526737941593
"333",1.20835835043691
"334",1.62141250626881
"335",1.35649709575262
"336",1.55202612190464
"337",1.19204517362469
"338",1.28679646121612
"339",1.19737043343569
"340",1.9748454957049
"341",1.71377534684677
"342",1.2091156333427
"343",1.56887596690729
"344",1.47205054110472
"345",1.4048953635963
"346",1.22584739282415
"347",1.14620993128289
"348",0.971825300502338
"349",1.10996633784739
"350",1.53700137157809
"351",1.44835178310383
"352",1.3266967525019
"353",1.38195815265196
"354",1.48344222709911
"355",1.19737963230087
"356",1.61270095745853
"357",1.55053887847052
"358",1.14280415536679
"359",1.90240817861523
"360",1.09352120873198
"361",1.44766744997878
"362",1.29906700815889
"363",0.98688911790146
"364",1.36002409265554
"365",1.36658660547335
"366",1.33439672192272
"367",1.3286377259992
"368",1.1562026994037
"369",1.36774665596111
"370",1.64840681436742
"371",1.03393987685531
"372",1.73183712870336
"373",1.67599684575088
"374",1.04940287725321
"375",1.47659501603319
"376",1.23169198367174
"377",1.13072303150054
"378",1.40495422156027
"379",1.09875771070143
"380",1.38817510151288
"381",1.26655239537146
"382",1.05157138848804
"383",1.36430347505742
"384",1.395894743429
"385",1.46841063334102
"386",1.30458096780462
"387",1.01764995162785
"388",1.64266433009682
"389",1.21122782572694
"390",1.65186082691764
"391",1.6067846891528
"392",1.2277899364087
"393",1.02968164297187
"394",1.26817921265701
"395",1.67280255416844
"396",1.35449517332419
"397",1.33277649560046
"398",0.820499426313022
"399",1.20374376600172
"400",1.6881192654458
"401",1.57939457807151
"402",1.39367758677222
"403",1.67159973891798
"404",0.791803388843719
"405",1.09952480464396
"406",0.511284565146399
"407",1.09903812331811
"408",1.42602058746304
"409",1.10234859141508
"410",1.56033709570028
"411",1.07084744234669
"412",0.940618720980251
"413",1.06739171733085
"414",1.24997325333689
"415",1.28595169183384
"416",0.928964549541189
"417",1.71759841390854
"418",1.42146997263232
"419",1.72367238791991
"420",0.416851792009007
"421",1.33197636896595
"422",1.3523619926412
"423",1.42477227132034
"424",1.13283603149342
"425",0.844588668412458
"426",1.39596984362602
"427",1.39533938853645
"428",0.978551558401058
"429",1.28516069044759
"430",1.46153999229468
"431",1.53009534737849
"432",1.40659613985357
"433",1.09322233166085
"434",1.55257056695941
"435",1.25155216956635
"436",1.20581792852121
"437",1.16305978451697
"438",1.31142384698536
"439",1.40228771534679
"440",1.35060236252571
"441",1.21634543189966
"442",1.52289993925537
"443",1.4279956853148
"444",1.22711295925442
"445",1.38407814222907
"446",1.58907245360763
"447",1.64648711642482
"448",1.53625426372898
"449",0.894545032276342
"450",0.950000374343814
"451",1.81361951794485
"452",1.62420780044767
"453",1.36645487229788
"454",1.08287159526449
"455",1.6161225264141
"456",1.63035779872735
"457",1.50545615987421
"458",1.50739737069971
"459",1.08558630059495
"460",1.14886874743834
"461",1.47335478514346
"462",1.62434235323171
"463",1.17499014170782
"464",1.03569683417733
"465",1.16308073488709
"466",1.8229420877448
"467",1.1410571599865
"468",1.81017883144707
"469",0.978347989587246
"470",1.5006474736798
"471",1.48646487891895
"472",1.37178130206889
"473",1.41746979196681
"474",1.21475690911711
"475",0.890893772102192
"476",1.42266571896286
"477",1.21403401728694
"478",1.55924028166003
"479",1.66051319838145
"480",1.59341048128509
"481",1.39326294547812
"482",1.34080832331305
"483",1.10786930570883
"484",1.50105183858351
"485",1.68127723338719
"486",1.26983956441836
"487",1.10066173034532
"488",1.77783900534357
"489",1.06475504653457
"490",1.50194007865693
"491",1.32844996551961
"492",1.29460796267291
"493",1.09929482090419
"494",1.56691768770291
"495",1.28976806008171
"496",1.16380323357405
"497",1.41039240142371
"498",1.29008428615609
"499",1.16587045292477
"500",1.79637785370493
"501",1.51139151154818
"502",1.35244688803019
"503",1.68169287613594
"504",1.55215428278957
"505",1.28773813874018
"506",1.1234387114704
"507",0.79310368289566
"508",1.45059361418152
"509",1.19518764797425
"510",1.20611356756663
"511",1.19532819329286
"512",1.56320239729218
"513",1.75521784554477
"514",1.03650979529461
"515",1.3752145395444
"516",1.10291040050701
"517",1.65584286460037
"518",1.43253526144565
"519",1.02491342573888
"520",1.62834514829638
"521",1.39241724744606
"522",1.83946660422099
"523",1.29384181659717
"524",1.2469751381481
"525",1.54885710878
"526",1.04183221315457
"527",1.62012128473512
"528",1.87024637411715
"529",1.32652239431107
"530",0.988124127864178
"531",1.12832763282853
"532",1.66071679796108
"533",0.872354366077882
"534",1.54107891118631
"535",1.19459218826669
"536",1.5636512661018
"537",1.18362082711484
"538",1.22094221430048
"539",1.36751927814978
"540",1.33917314141802
"541",1.64383735733599
"542",1.40810649311962
"543",1.6152281759782
"544",1.55134218822675
"545",1.0886949565626
"546",1.69954876536586
"547",1.53129029126547
"548",1.43331904387789
"549",1.69574570685784
"550",1.5328367637029
"551",1.50190138654766
"552",1.47964661395994
"553",0.895575937409832
"554",1.51217316314494
"555",1.70978635734524
"556",0.964677372455503
"557",1.22948848800925
"558",1.28521204860796
"559",1.76656699708293
"560",1.25255705178118
"561",1.43744617989089
"562",1.34883229346423
"563",1.18801627182583
"564",1.30376123263195
"565",1.47435667749772
"566",2.0053520210554
"567",1.66555166943906
"568",1.28882815370021
"569",1.52704789692945
"570",1.49823556360623
"571",1.31065890521872
"572",1.37382389819207
"573",1.16492253129553
"574",1.62784228528893
"575",1.11948315577608
"576",1.41145834568143
"577",1.17478716679987
"578",1.11621214621124
"579",1.6628744716982
"580",1.4140227738523
"581",1.4124441949493
"582",1.18525157494848
"583",1.25779337315469
"584",1.33855111864734
"585",1.70621786995983
"586",1.23116711206497
"587",1.26317043122735
"588",1.53373792514396
"589",1.26092167891503
"590",1.09769499075639
"591",1.14019111738929
"592",1.33137913070545
"593",1.71018261209411
"594",1.47829064121004
"595",1.20179260499083
"596",1.39869472530613
"597",1.48501121134275
"598",1.29872689879146
"599",1.6275738019126
"600",0.94172442146039
"601",1.28932210524774
"602",1.53029391369147
"603",1.34621550931208
"604",1.30723242428568
"605",1.60622740345326
