"","theta0","theta1","theta2","theta3","phi1","phi2","w"
"1",0,0,-2,0.1,0,0.05,1.4
"2",1.99759819933796,0.00103278240358363,-1.99863098174154,0.1,-0.00206556480716725,0.0496893271110521,1.4
"3",1.99524775738236,0.00204346673366964,-1.99729122411603,0.0993786542221041,-0.00408693346733928,0.0494102182727541,1.4
"4",1.99297625783629,0.00300566501732502,-1.99598192285361,0.0988204365455082,-0.00601133003465003,0.0492991167255599,1.4
"5",1.99062682891385,0.00401340874862383,-1.99464023766247,0.0985982334511199,-0.00802681749724766,0.0490587559564355,1.4
"6",1.98832959763271,0.00499256934972224,-1.99332216698243,0.0981175119128709,-0.00998513869944448,0.04896884416188,1.4
"7",1.98600714604717,0.00598996118912209,-1.99199710723629,0.0979376883237599,-0.0119799223782442,0.0487243742610678,1.4
"8",1.98368944520521,0.00698358215727402,-1.99067302736249,0.0974487485221356,-0.013967164314548,0.0484896543497663,1.4
"9",1.98136968509491,0.00797210019611598,-1.98934178529103,0.0969793086995325,-0.015944200392232,0.048369110720019,1.4
"10",1.97899134820369,0.0089949709767752,-1.98798631918046,0.096738221440038,-0.0179899419535504,0.0480561732190307,1.4
"11",1.97669278165452,0.00998283302480665,-1.98667561467933,0.0961123464380613,-0.0199656660496133,0.0477971286868696,1.4
"12",1.97435425281911,0.0109789941060465,-1.98533324692516,0.0955942573737392,-0.0219579882120929,0.0476751427048672,1.4
"13",1.97202658198003,0.011981357911637,-1.98400793989167,0.0953502854097344,-0.023962715823274,0.0473544059737529,1.4
"14",1.9697573128529,0.0129506371153836,-1.98270794996828,0.0947088119475059,-0.0259012742307673,0.0471912773207845,1.4
"15",1.96741803375785,0.0139535221886556,-1.9813715559465,0.0943825546415691,-0.0279070443773112,0.0469129942155828,1.4
"16",1.96513623822616,0.0149208432010666,-1.98005708142722,0.0938259884311655,-0.0298416864021332,0.0468867503354718,1.4
"17",1.96282453118719,0.0159122947329217,-1.97873682592011,0.0937735006709436,-0.0318245894658433,0.0466199175802899,1.4
"18",1.96047862714292,0.0169183755012281,-1.97739700264415,0.0932398351605798,-0.0338367510024562,0.0463640154435911,1.4
"19",1.95818610571106,0.0179000399836947,-1.97608614569475,0.0927280308871822,-0.0358000799673894,0.0461163838471298,1.4
"20",1.95595198254093,0.0188517332649338,-1.97480371580586,0.0922327676942596,-0.0377034665298676,0.0459894740398726,1.4
"21",1.95359524391784,0.0198627759461717,-1.97345801986402,0.0919789480797452,-0.0397255518923435,0.0457141657577742,1.41831889429612
"22",1.95099007886033,0.0208377308287301,-1.97216339157729,0.0914283315155485,-0.0416754616574603,0.0454963385385199,1.41831889429612
"23",1.94863828201275,0.0218421998580471,-1.97081606375903,0.0909926770770397,-0.0436843997160943,0.0452949102938393,1.41831889429612
"24",1.94630374285227,0.0228426537966849,-1.96948197853719,0.0905898205876786,-0.0456853075933697,0.0450399299579324,1.41831889429612
"25",1.94404632532035,0.0238044163052407,-1.96818632351383,0.0900798599158647,-0.0476088326104815,0.0449506467478256,1.41831889429612
"26",1.94171905118449,0.0248022952846322,-1.96685692835735,0.0899012934956512,-0.0496045905692644,0.044766524873329,1.41831889429612
"27",1.93944476910105,0.0257653965463346,-1.96554574753561,0.089533049746658,-0.0515307930926693,0.0446665915965361,1.41831889429612
"28",1.9371615931101,0.0267499580040421,-1.96424713300237,0.0893331831930722,-0.0534999160080842,0.0443960162057701,1.41831889429612
"29",1.93484338507271,0.0277509196589891,-1.96292988661993,0.0887920324115402,-0.0555018393179783,0.0441290433804374,1.41831889429612
"30",1.93260451638631,0.0287035892119491,-1.96164368748649,0.0882580867608748,-0.0574071784238983,0.0440259722637462,1.41831889429612
"31",1.93029437028147,0.0296918354594468,-1.96032178762915,0.0880519445274924,-0.0593836709188936,0.0438246384151551,1.41831889429612
