"","x"
"1",2.92240101468323
"2",2.84543559892415
"3",2.7462152937777
"4",2.86146929455011
"5",2.8315772149059
"6",2.78610762940767
"7",2.78561289705604
"8",2.85098712875312
"9",2.8805238245567
"10",2.73922358634761
"11",2.89430236643032
"12",2.73612305788204
"13",2.73938689076276
"14",2.80733561590077
"15",2.83130520112607
"16",2.73626540605163
"17",2.8699983817853
"18",2.68257571850717
"19",2.64580891073696
"20",2.83439368681095
"21",2.65215800645014
"22",2.86443629987301
"23",2.7933804645068
"24",2.73345944017374
"25",2.85659893770124
"26",2.73457214850548
"27",2.65419370832767
"28",2.76916207736742
"29",2.65233726117565
"30",2.80841453695091
"31",2.79950483928654
"32",2.62448555912389
"33",2.65400692133584
"34",2.7380248291791
"35",2.7618743447593
"36",2.52083655849006
"37",2.58186327149722
"38",2.55602776692492
"39",2.76272398664012
"40",2.68264492599211
"41",2.7629559305495
"42",2.50806173011165
"43",2.61362538458468
"44",2.50034313030017
"45",2.65333461548039
"46",2.55074982280212
"47",2.59600380115082
"48",2.64085789822705
"49",2.47989600884803
"50",2.57598180344805
"51",2.68101288991886
"52",2.630884356721
"53",2.61791047351956
"54",2.49947036345251
"55",2.48198544045079
"56",2.43777366611193
"57",2.5138129909933
"58",2.61110917620115
"59",2.45043518239465
"60",2.45556628433343
"61",2.51169614081092
"62",2.61807939164837
"63",2.61538787749896
"64",2.59051359721777
"65",2.64382308828404
"66",2.51170837871203
"67",2.67351881182091
"68",2.64778893579473
"69",2.46867341137924
"70",2.40012516599171
"71",2.48882901502041
"72",2.46713902779548
"73",2.30911359250787
"74",2.56685946795291
"75",2.43358056021163
"76",2.44236719663801
"77",2.36191164237679
"78",2.43093498111177
"79",2.45181104955973
"80",2.34396757340948
"81",2.49158251743599
"82",2.55106930764979
"83",2.6311428210796
"84",2.50324878722226
"85",2.41580552765444
"86",2.33227085080211
"87",2.39000435854961
"88",2.41217099301552
"89",2.39869027326747
"90",2.22654851337431
"91",2.28830248294288
"92",2.50172955550055
"93",2.3611177552029
"94",2.40102132594959
"95",2.34771755333127
"96",2.49765547940939
"97",2.35560399085794
"98",2.30489910640819
"99",2.3429539540724
"100",2.40476797571365
"101",2.18275863526923
"102",2.35062373152243
"103",2.31478136621504
"104",2.25998453341828
"105",2.33455963767844
"106",2.26510567965123
"107",2.29247221359688
"108",2.13130976208189
"109",2.23602026086866
"110",2.44866223299501
"111",2.33274380181925
"112",2.3834440189114
"113",2.31036591230659
"114",2.34027978546392
"115",2.32697884203482
"116",2.22784491501519
"117",2.30762009094547
"118",2.33370915220902
"119",2.24658034028263
"120",2.15987193476841
"121",2.34968260977154
"122",2.21252912010639
"123",2.15491001394229
"124",2.24718862695075
"125",2.32801221426311
"126",2.3809183575594
"127",2.16943458901498
"128",2.18631777042041
"129",2.30952078616852
"130",2.2723815390861
"131",2.33222526615761
"132",2.17358236238438
"133",2.40566968608489
"134",2.12132820820521
"135",2.23323582144443
"136",2.20110840080893
"137",2.18793496826473
"138",2.31767026532808
"139",2.22779729165883
"140",2.19322848147866
"141",2.37127741485547
"142",2.10549242169944
"143",2.09315826793189
"144",2.36841875079536
"145",2.1926505485878
"146",2.16335213022604
"147",2.14135207984896
"148",2.05047728971894
"149",2.12495334468804
"150",2.03962491022577
"151",2.11618700185067
"152",2.20595099758723
"153",2.05830604846686
"154",2.1229661592209
"155",2.1070201664524
"156",2.11012886575612
"157",2.15927089761737
"158",2.26562223828211
"159",2.21461263249105
"160",2.09550162567274
"161",2.04311163072995
"162",2.05952326952657
"163",2.06260999909153
"164",2.09851884999109
"165",2.18575086405196
"166",2.04105027847975
"167",2.15801368228558
"168",2.00864014332654
